date,asset_type,ticker,signal,close,change_pct,rsi,puddle
2026-05-11,Stock,ANET,RSI & Puddle,136.43,-3.77,23.89,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-05-11,ETF,AGG,Puddle,98.92,-0.26,46.31,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,BIV,Puddle,76.82,-0.25,44.96,"3rd: MA120, 50% cash, 5d"
2026-05-11,ETF,BND,Puddle,73.37,-0.24,46.26,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,BNDX,Puddle,47.98,-0.33,49.67,"3rd: MA120, 50% cash, 5d"
2026-05-11,ETF,BSV,Puddle,78.05,-0.13,46.09,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,GOVT,Puddle,22.76,-0.26,44.62,"3rd: MA120, 50% cash, 5d"
2026-05-11,ETF,IUSB,Puddle,46.11,-0.24,46.21,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,LQD,Puddle,108.93,-0.25,47.1,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,MBB,Puddle,94.67,-0.25,49.07,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,TLT,Puddle,85.56,-0.6,43.4,"1st: MA20, 10% cash"
2026-05-11,ETF,USHY,Puddle,36.99,-0.22,50.0,"1st: MA20, 10% cash"
2026-05-11,ETF,VCIT,Puddle,82.71,-0.22,46.64,"2nd: MA60, 50% cash, 5d"
2026-05-11,ETF,VGSH,Puddle,58.28,-0.1,46.67,"1st: MA20, 10% cash"
2026-05-11,ETF,VTEB,Puddle,50.22,-0.06,48.21,"1st: MA20, 10% cash"
2026-05-11,Stock,AXP,Puddle,312.32,-1.17,35.42,"2nd: MA60, 50% cash, 5d"
2026-05-11,Stock,BAC,Puddle,50.55,-1.48,32.91,"2nd: MA60, 50% cash, 5d"
2026-05-11,Stock,COST,Puddle,999.47,-0.92,47.77,"1st: MA20, 10% cash"
2026-05-11,Stock,CRM,Puddle,177.49,-2.38,42.27,"1st: MA20, 10% cash"
2026-05-11,Stock,DIS,Puddle,104.72,-3.05,50.98,"3rd: MA120, 50% cash, 5d"
2026-05-11,Stock,PEP,Puddle,149.41,-3.37,38.28,"3rd: MA120, 50% cash, 5d"
2026-05-11,Stock,PG,Puddle,143.36,-2.09,54.2,"1st: MA20, 10% cash"
2026-05-11,Stock,TMUS,Puddle,190.85,-1.44,45.36,"1st: MA20, 10% cash"
2026-05-11,Stock,WMT,Puddle,127.59,-2.18,44.94,"1st: MA20, 10% cash"
