scan_timestamp_utc,date,asset_type,universe,rank,ticker,company_name,signal,close,change_pct,rsi,puddle
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,3,ABNB,Airbnb,RSI & Puddle,132.97,-1.85,29.11,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,70,TJX,TJX Cos Inc/The,RSI & Puddle,147.03,-2.15,18.66,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,83,ROST,Ross Stores,RSI & Puddle,211.76,-2.72,29.71,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,93,CB,Chubb Ltd,RSI & Puddle,316.01,-1.87,26.34,"3rd: MA120, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,8,AEP,American Electric Power,Puddle,127.95,-3.02,35.63,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,17,V,Visa Inc,Puddle,320.31,-1.87,59.73,"3rd: MA120, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,30,CPRT,Copart,Puddle,32.94,-1.5,37.5,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,31,BAC,Bank of America Corp,Puddle,49.84,-1.85,34.94,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,34,CSX,CSX Corporation,Puddle,44.4,-0.29,34.86,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,36,DXCM,DexCom,Puddle,58.57,-4.2,38.65,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,39,GEV,GE Vernova Inc,Puddle,1062.57,-0.88,35.77,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,42,FER,Ferrovial,Puddle,67.9,-1.47,42.68,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,47,AXP,American Express Co,Puddle,309.61,-1.5,40.9,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,"S&P500,NASDAQ100",53,TMUS,T-Mobile US Inc,Puddle,190.28,-1.56,45.57,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,54,KHC,Kraft Heinz,Puddle,23.18,-0.81,66.49,"3rd: MA120, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,60,DIS,Walt Disney Co/The,Puddle,104.9,-1.19,52.73,"3rd: MA120, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,"S&P500,NASDAQ100",69,GILD,Gilead Sciences Inc,Puddle,133.05,-1.4,48.85,"3rd: MA120, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,"S&P500,NASDAQ100",71,APP,AppLovin Corp,Puddle,453.53,-7.57,49.84,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,NASDAQ100,76,PAYX,Paychex,Puddle,89.92,-2.81,50.39,"2nd: MA60, 50% cash, 5d"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,79,UBER,Uber Technologies Inc,Puddle,74.7,-2.17,50.0,"1st: MA20, 10% cash"
2026-05-14T17:51:00+00:00,2026-05-13,Stock,S&P500,89,PLD,Prologis Inc,Puddle,142.0,-1.22,49.21,"1st: MA20, 10% cash"
